Name,Team,ERA
Hayden Mullins,BOS,4.83
Chayce McDermott,BAL,4.67
Kenta Maeda,,5.09
Ricky Castro,MIN,4.76
C.J. Culpepper,MIN,4.83
Jonathan Bowlan,PHI,4.48
Landon Harper,ATL,4.64
Jack Kochanowicz,LAA,5.26
Hunter Patteson,KCR,5.04
Nick Dean,CHC,4.52
Bryce Mayer,HOU,4.66
Blake Beers,ATH,4.82
Luis De León,BAL,4.76
Domingo Robles,ATH,4.7
Levi Wells,BAL,4.82
Jason Alexander,HOU,4.66
Brandon Leibrandt,CIN,4.96
Trey Dombroski,HOU,4.68
Jose Corniell,TEX,4.65
Jaxon Wiggins,CHC,4.48
Will Johnston,ATH,4.52
Blake Adams,COL,5.21
Trey Supak,TEX,5.12
Jeff Criswell,COL,4.66
David Buchanan,,4.96
James Gonzalez,ATH,4.9
Alex Pham,BAL,4.74
Ryan Webb,CLE,4.54
Marco Raya,MIN,4.88
Josiah Gray,WSN,4.82
Eduardo Rivera,BOS,4.77
Kyle Luckham,WSN,5.05
Evan McKendry,MIA,5.19
Robinson Piña,,4.5
Garrett McMillan,PIT,4.1
Valente Bellozo,COL,4.68
Bryan Hoeing,SDP,4.3
Felipe De La Cruz,NYM,4.66
Billy Corcoran,ARI,4.46
Zack Thompson,STL,4.56
Trevor Williams,WSN,4.93
Jose Fleury,HOU,4.54
Chuck King,PHI,5.22
Griffin Canning,SDP,4.76
Blake Wehunt,BOS,4.78
Cameron Weston,BAL,4.97
Jared Shuster,STL,4.56
Connor Phillips,CIN,4.92
Anthony Molina,ATL,4.95
Tomoyuki Sugano,COL,4.87
Davis Daniel,CIN,5.63
Brad Keller,PHI,4.43
Tommy Henry,ARI,4.55
Reid VanScoter,SEA,4.72
Cody Poteet,,4.31
Erick Fedde,CHW,4.97
Caleb Kilian,SFG,4.61
Nick Dombkowski,PIT,4.52
Mitch Myers,ATH,4.79
Carson Palmquist,COL,5.26
Yilber Díaz,ARI,4.16
Victor Mederos,LAA,5.12
Jean Cabrera,PHI,5.2
Freddy Tarnok,,4.41
Sean Sullivan,PIT,4.46
Trent Sellers,NYY,4.98
Chris Murphy,CHW,4.6
Lael Lockhart,DET,4.92
Cory Abbott,,4.9
Max Alba,DET,5.04
John Michael Bertrand,SFG,4.71
Ryan Yarbrough,NYY,4.58
Lucas Gordon,CHW,5.15
Jacob Waguespack,MIL,4.53
Jurrangelo Cijntje,STL,4.72
Jaden Hamm,DET,5.07
Charlie Morton,,4.88
Grant Holmes,ATL,4.16
Jose Gonzalez,LAA,5.24
Chase Solesky,TBR,5.01
Moisés Chace,PHI,4.86
Brandon Waddell,NYM,4.67
Robert Stock,NYM,4.86
Dakota Hudson,,5.35
Trystan Vrieling,SFG,4.72
Emiliano Teodo,TEX,4.7
Andrew Hoffmann,ARI,4.05
Trenton Wallace,TOR,4.48
Bowden Francis,TOR,4.69
Trent Baker,MIN,4.81
Owen Wild,TBR,5.23
Jordan Balazovic,,4.64
Carlos Peña,DET,4.96
Rodney Boone,CLE,4.44
Adam Macko,TOR,4.76
Julian Aguiar,CIN,5.42
Andry Lara,WSN,4.95
Josh Trentadue,TEX,5.05
José Urquidy,PIT,4.8
Rafael Sanchez,TOR,5.02
Dylan Smith,DET,4.5
Hancel Rincon,STL,4.79
Connor McCullough,CHW,5.05
Ty Blach,,5.21
Kyle Robinson,ATH,5.15
Ky Bush,CHW,5.1
Kyle Carr,NYY,5.33
Avery Weems,,4.56
Spencer Turnbull,,5.04
Jack Mahoney,COL,5.49
Jackson Rutledge,WSN,4.92
Ryan Lobus,TEX,4.62
Anders Tolhurst,,4.82
Po-Yu Chen,PIT,4.89
Taijuan Walker,PHI,5.13
Connor Seabold,DET,5.01
Thaddeus Ward,,4.74
Jared Lyons,CIN,5.29
Andrew Sears,DET,5.1
José De León,,4.83
Jack Choate,SFG,4.76
Brendan Girton,NYM,5.03
Christian MacLeod,MIN,4.73
Joey Lucchesi,LAA,4.22
Josh Maciejewski,,4.5
Cole Wilcox,SEA,4.57
Zach Penrod,WSN,4.47
Nico Tellache,SEA,4.6
Bryce Jarvis,ARI,4.65
Mike Clevinger,PIT,4.96
Lyon Richardson,CIN,4.86
Alonzo Tredwell,HOU,4.77
Jake Bloss,TOR,4.78
Erick Leal,,5.37
Vince Velasquez,CHC,4.48
Adam Laskey,COL,4.99
Chase Chaney,NYY,5.2
Zach Thompson,,4.82
Alex Cornwell,STL,4.74
Kai-Wei Teng,HOU,4.8
Derek Diamond,PIT,4.76
Antonio Senzatela,COL,5.54
River Ryan,LAD,4.93
Walker Powell,,4.6
Bryse Wilson,PHI,4.91
Blane Abeyta,ATL,4.67
Dalton Rogers,BOS,4.86
Carl Edwards Jr.,NYM,4.44
Tyson Guerrero,KCR,5
Ricky Tiedemann,TOR,4.68
Wyatt Crowell,LAD,5.22
Brandon Williamson,CIN,5.35
TJ Shook,COL,5.07
Austin Bergner,TEX,4.91
Luis Palacios,MIA,4.8
Casey Lawrence,SEA,4.98
Blake Walston,ARI,4.59
Jose Franco,CIN,5.48
Riley Cornelio,WSN,5.19
Rorik Maltrud,CLE,4.65
Albert Suárez,BAL,4.86
Peter Solomon,,4.84
Eiberson Castellano,COL,5.09
Bryan Mata,,4.5
Beau Brieske,DET,4.81
Carson Fulmer,PIT,4.96
Prelander Berroa,CHW,4.67
Jonathan Heasley,KCR,4.95
Jose Acuna,CIN,5.63
Nick Zwack,SFG,4.79
Dallas Keuchel,,5.07
Connor Schultz,CHC,4.71
Antonio Santos,,4.78
T.J. Sikkema,BOS,4.92
Walbert Urena,LAA,5.4
Aaron Rozek,NYM,5.05
Karson Milbrandt,MIA,5
Trevor Martin,TBR,4.91
Carlos Carrasco,ATL,5.36
Victor Juarez,COL,5.06
Shaun Anderson,LAA,5.29
Henry Williams,KCR,5.23
Jackson Stephens,,4.19
Sam Armstrong,MIN,5.23
Randy Wynne,,5.57
Keegan Thompson,COL,4.77
Sam Aldegheri,LAA,5.43
Luke Russo,PHI,5.19
Walker Buehler,SDP,5.33
Bailey Dees,NYY,4.93
Robert Dugger,,5.29
Curtis Taylor,,4.81
Alex Clemmey,WSN,5.31
Pat Gallagher,TOR,4.63
Brock Selvidge,NYY,5.29
Jackson Nezuh,HOU,4.86
Cameron Foster,BAL,4.48
Frankie Montas,,5.44
Nick Frasso,LAD,5.01
Yunior Tur,ATH,5.16
Elieser Hernández,ATL,4.95
Jake Palisch,CHW,4.89
Troy Watson,DET,4.97
Joan Adon,,5.16
Owen White,,5.22
Alex Amalfi,TOR,4.61
Kyle Brnovich,PHI,5.27
Anthony Veneziano,,4.81
Brandon Komar,,5.46
Anthony DeSclafani,,4.52
Raúl Alcantara,,4.59
Ben Anderson,TEX,5.34
Ryan Costeiu,LAA,5.53
Roque Gutierrez,LAD,5.4
Chris Flexen,,4.89
Wil Jensen,,4.43
Kyle Funkhouser,,5.11
Scott Blewett,STL,4.38
Joe Miller,DET,5.24
Jake Miller,DET,4.78
Carson Ragsdale,,4.88
Alex Williams,MIA,4.94
Max Rajcic,STL,5
Jairo Iriarte,CHW,5.16
Shintaro Fujinami,,4.29
Alessandro Ercolani,PIT,4.96
Drake Fellows,NYY,5.14
Ryan Ramsey,KCR,5.15
Zane Mills,CHC,4.7
Beau Burrows,PIT,4.56
Tommy Vail,CHW,5.05
Gunnar Hoglund,ATH,5
Jackson Jobe,DET,4.94
Austin Krob,,4.84
Wade Miley,,5.65
Edgar Barclay,NYY,5.4
Gabriel Barbosa,PHI,5.42
Joe Ross,ARI,4.44
Braeden Fausnaught,PHI,5.27
Cade Winquest,NYY,5.55
Ian Bedell,STL,4.9
Mitch Neunborn,PHI,5.45
Alejandro Hidalgo,MIN,5.4
Ben Peoples,CHW,5.03
Luis Patiño,,4.79
Dylan File,DET,5.35
Kyle Virbitsky,,4.82
David Leal,,4.79
Blake Townsend,TEX,4.64
John Means,KCR,4.5
Peter Heubeck,LAD,5.5
Blake Burkhalter,ATL,4.93
Ricky Vanasco,DET,4.5
Dylan DeLucia,CLE,4.97
Logan Gillaspie,SDP,4.63
Reiss Knehr,,4.74
John Gant,,5.13
Aaron Brown,,5.11
Dane Acker,TEX,5.02
Tyler Ivey,,5.11
Osvaldo Berrios,BOS,4.75
Andrew Quezada,,5.54
Mike Paredes,MIN,4.59
Eric Yost,SDP,5.13
