Name,Team,ERA
Nestor Cortes,,4.19
Blade Tidwell,San Francisco Giants,4.33
George Klassen,Kansas City Royals,4.68
Zach Eflin,Baltimore Orioles,4.38
Coleman Crow,Milwaukee Brewers,4.11
Steven Matz,Tampa Bay Rays,3.84
Bailey Falter,Kansas City Royals,4.49
Ryan Weathers,New York Yankees,4.48
Jordan Montgomery,Texas Rangers,4.46
Josh Winckowski,Toronto Blue Jays,4.08
Austin Peterson,Cleveland Indians,4.37
Ryan Gusto,Miami Marlins,4.56
Kutter Crawford,Boston Red Sox,4.47
Luis Ortiz,Cleveland Indians,3.98
Ben Hess,New York Yankees,4.61
Darren McCaughan,Cincinnati Reds,4.71
Allan Winans,,4.56
Tobias Myers,New York Mets,4.38
Mason Montgomery,Pittsburgh Pirates,3.84
Luis Gil,New York Yankees,4.61
Logan Workman,Tampa Bay Rays,4.73
Hunter Barco,Pittsburgh Pirates,4.23
Blake Money,Baltimore Orioles,4.59
Kendry Rojas,Minnesota Twins,4.36
Chase Petty,Cincinnati Reds,5.51
Andrew Painter,Philadelphia Phillies,4.8
Tanner Gordon,Colorado Rockies,5.32
Tyson Hardin,Milwaukee Brewers,4.45
Aaron Civale,Athletics,4.57
Patrick Corbin,,5.2
Cristian Javier,Houston Astros,4.35
Jos� Suarez,Atlanta Braves,4.16
Cody Bradford,Texas Rangers,4.42
Justin Hagenman,New York Mets,4.46
Hayden Birdsong,San Francisco Giants,4.47
Brandon Walter,Houston Astros,3.93
Jos� Berr�os,Toronto Blue Jays,4.51
Connor Noland,Boston Red Sox,4.46
Jedixson Paez,Chicago White Sox,4.44
Keider Montero,Detroit Tigers,4.51
Alan Rangel,Philadelphia Phillies,4.95
Michael Lorenzen,Colorado Rockies,4.86
Yordanny Monegro,Boston Red Sox,4.28
Jonathan Santucci,New York Mets,4.7
Tyler Mahle,San Francisco Giants,3.92
Germ�n M�rquez,San Diego Padres,5.31
Kade Morris,Athletics,4.67
Austin Gomber,Texas Rangers,5.2
Jose Quintana,Colorado Rockies,4.31
Caleb Boushley,,4.66
Juaron Watts-Brown,Baltimore Orioles,4.68
Ryan Bergert,Kansas City Royals,4.46
Mitch Farris,Kansas City Royals,4.89
Tekoah Roby,St. Louis Cardinals,4.2
Nestor German,Baltimore Orioles,4.73
Yu Darvish,San Diego Padres,4.5
Kyle Hendricks,,5.16
Michael Soroka,Arizona Diamondbacks,4.12
Riley Gowens,Chicago White Sox,4.9
Dane Dunning,Seattle Mariners,4.34
Grant Rogers,Toronto Blue Jays,4.78
Drew Rom,Milwaukee Brewers,4.19
Michael Forret,Tampa Bay Rays,4.52
Jack Wenninger,New York Mets,4.7
Nathan Wiles,,4.3
Gordon Graceffo,St. Louis Cardinals,4.37
Mike Vasil,Chicago White Sox,4.23
Jaron DeBerry,Milwaukee Brewers,4.6
Joey Wentz,Atlanta Braves,4.54
Henry Baez,Athletics,4.47
Yorman G�mez,Cleveland Indians,4.4
Kyle Gibson,,4.88
Trevor McDonald,San Francisco Giants,4.36
Daniel Eagen,Arizona Diamondbacks,4.12
Mason Englert,Tampa Bay Rays,3.97
Sammy Peralta,Milwaukee Brewers,4.05
Sawyer Gipson-Long,Detroit Tigers,4.34
Landon Knack,Los Angeles Dodgers,5.16
Joander Suarez,New York Mets,4.56
Sean Newcomb,Chicago White Sox,4
Khal Stephen,Cleveland Indians,4.41
Ryan Feltner,Colorado Rockies,5.17
Ronel Blanco,Houston Astros,4.2
Connor Thomas,Atlanta Braves,4.46
Carlos Lagrange,New York Yankees,4.84
AJ Blubaugh,Houston Astros,4.45
Brad Lord,Washington Nationals,4.62
Chris Paddack,Miami Marlins,5.1
Brady Basso,Athletics,4.22
Trenton Denholm,Cleveland Indians,4.43
Jake Woodford,Tampa Bay Rays,4.7
Aaron Ashby,Milwaukee Brewers,3.95
Sean Boyle,San Diego Padres,4.57
Tate Kuehner,Milwaukee Brewers,4.5
Thomas Harrington,Pittsburgh Pirates,4.54
Antwone Kelly,Pittsburgh Pirates,4.39
Emerson Hancock,Seattle Mariners,4.46
R.J. Gordon,New York Mets,4.85
Kyle Wright,Boston Red Sox,4.52
Chase Dollander,Colorado Rockies,5.08
Quinn Mathews,St. Louis Cardinals,4.37
Cal Quantrill,Texas Rangers,5.14
Bobby Miller,Los Angeles Dodgers,5.04
Yoendrys G�mez,Tampa Bay Rays,4.44
Jackson Kent,Washington Nationals,5.01
Gabriel Hughes,Colorado Rockies,5.02
Randy V�squez,San Diego Padres,4.68
Jonathan Pintaro,New York Mets,4.1
Alek Manoah,Kansas City Royals,4.66
Adam Seminaris,Philadelphia Phillies,4.84
Logan Evans,Seattle Mariners,4.39
Paul Blackburn,New York Yankees,4.96
Noah Schultz,Chicago White Sox,4.79
Keaton Winn,San Francisco Giants,4.12
DJ Herz,Washington Nationals,4.48
Kolby Allard,Cleveland Indians,4.1
Braxton Bragg,Baltimore Orioles,4.48
Richard Fitts,St. Louis Cardinals,4.32
Dylan Ray,Arizona Diamondbacks,4.5
Shane Murphy,Chicago White Sox,4.85
Travis Adams,Minnesota Twins,4.55
Kohl Drake,Arizona Diamondbacks,4.19
Andrew Heaney,,4.91
Dax Fulton,Miami Marlins,4.7
Wilber Dotel,Pittsburgh Pirates,4.61
Mason Black,Kansas City Royals,5
Fernando Perez,Toronto Blue Jays,4.8
Brent Headrick,New York Yankees,4.14
Bruce Zimmermann,St. Louis Cardinals,4.53
Will Sanders,Boston Red Sox,4.57
Thomas Hatch,Arizona Diamondbacks,4.24
Tanner McDougal,Chicago White Sox,4.94
Dylan Dodd,Atlanta Braves,4.11
Carson Spiers,Cincinnati Reds,5.22
Josh Stephan,Texas Rangers,4.93
Ixan Henderson,St. Louis Cardinals,4.5
Gabe Mosser,Seattle Mariners,4.66
Drey Jameson,Arizona Diamondbacks,3.92
Carson Seymour,San Francisco Giants,4.23
Ben Kudrna,Kansas City Royals,4.85
Matt Sauer,,5.03
Josh Hartle,Cleveland Indians,4.41
Brandon Young,Baltimore Orioles,4.54
Sem Robberse,St. Louis Cardinals,4.48
JP Sears,San Diego Padres,4.68
Max Meyer,Miami Marlins,4.46
Paxton Schultz,Washington Nationals,4.44
Nabil Crismatt,Texas Rangers,4.89
Doug Nikhazy,Cleveland Indians,4.5
Spencer Arrighetti,Houston Astros,4.36
