Name,Team,IP,WAR,war_per_200
Keegan Thompson,Colorado Rockies,62,0.2,0.64516129
Elvis Alvarado,Arizona Diamondbacks,62.1,0.2,0.644122383
Aaron Rozek,Minnesota Twins,93.2,0.3,0.643776824
Austin Love,St. Louis Cardinals,63.2,0.2,0.632911392
Peyton Pallette,Cleveland Guardians,63.2,0.2,0.632911392
Bryse Wilson,Philadelphia Phillies,95.1,0.3,0.630914826
Luis Palacios,Miami Marlins,95.2,0.3,0.630252101
Henry Williams,Kansas City Royals,96.1,0.3,0.624349636
Juan Mejia,Colorado Rockies,64.1,0.2,0.624024961
Mason Thompson,Texas Rangers,32.2,0.1,0.621118012
Jurrangelo Cijntje,St. Louis Cardinals,97.1,0.3,0.61791967
Jimmy Herget,Colorado Rockies,65.1,0.2,0.614439324
David Leal,#N/A,65.2,0.2,0.613496933
Scott Blewett,St. Louis Cardinals,66.2,0.2,0.604229607
Scott Alexander,San Francisco Giants,33.2,0.1,0.602409639
Trey Dombroski,Houston Astros,101.2,0.3,0.592885375
Pat Gallagher,Toronto Blue Jays,68,0.2,0.588235294
John Gant,#N/A,68,0.2,0.588235294
Marc Church,Texas Rangers,34,0.1,0.588235294
Curtis Taylor,#N/A,103,0.3,0.582524272
Sam Armstrong,Minnesota Twins,103.1,0.3,0.581959263
Antonio Senzatela,Colorado Rockies,103.2,0.3,0.581395349
Shaun Anderson,Los Angeles Angels,103.2,0.3,0.581395349
Alex Clemmey,Washington Nationals,103.2,0.3,0.581395349
Wil Jensen,#N/A,69,0.2,0.579710145
Alex Amalfi,Toronto Blue Jays,70,0.2,0.571428571
John Means,Kansas City Royals,35,0.1,0.571428571
Kodi Whitley,Tampa Bay Rays,35.1,0.1,0.56980057
Sean Reid-Foley,#N/A,35.1,0.1,0.56980057
Trey McLoughlin,Houston Astros,35.1,0.1,0.56980057
Adbert Alzolay,New York Mets,35.2,0.1,0.568181818
Kyle Brnovich,Philadelphia Phillies,71.1,0.2,0.562587904
Braeden Fausnaught,Philadelphia Phillies,71.2,0.2,0.561797753
Erick Leal,#N/A,107.1,0.3,0.56022409
Chase Chaney,New York Yankees,107.1,0.3,0.56022409
Ian Bedell,St. Louis Cardinals,72,0.2,0.555555556
Gunnar Hoglund,Athletics,72,0.2,0.555555556
Vinny Nittoli,#N/A,36,0.1,0.555555556
Zane Mills,Chicago Cubs,72.2,0.2,0.55401662
Brady Feigl,#N/A,36.1,0.1,0.55401662
Blake Weiman,Los Angeles Angels,36.1,0.1,0.55401662
Jonathan Heasley,Tampa Bay Rays,73,0.2,0.547945205
Nick Frasso,Los Angeles Dodgers,73.2,0.2,0.546448087
Carlos Carrasco,Atlanta Braves,110.1,0.3,0.544959128
Danny Young,Atlanta Braves,37,0.1,0.540540541
Kyle Amendt,Arizona Diamondbacks,37,0.1,0.540540541
Julian Merryweather,Minnesota Twins,37,0.1,0.540540541
Cole Winn,Texas Rangers,74.2,0.2,0.539083558
Tim Mayza,Philadelphia Phillies,37.1,0.1,0.539083558
Joan Adon,#N/A,75,0.2,0.533333333
Jairo Iriarte,Chicago Cubs,76.2,0.2,0.524934383
Mitch Neunborn,Philadelphia Phillies,76.2,0.2,0.524934383
Ryan Borucki,San Francisco Giants,38.1,0.1,0.524934383
Angel Felipe,#N/A,38.2,0.1,0.523560209
Alex Williams,Miami Marlins,78.1,0.2,0.512163892
Jackson Jobe,Detroit Tigers,78.1,0.2,0.512163892
John Brebbia,Minnesota Twins,39.1,0.1,0.511508951
Trevor Stephan,Cleveland Guardians,39.1,0.1,0.511508951
Walbert Urena,Los Angeles Angels,118,0.3,0.508474576
Jackson Nezuh,Houston Astros,79.2,0.2,0.505050505
Troy Watson,Detroit Tigers,79.2,0.2,0.505050505
Robert Dugger,#N/A,80,0.2,0.5
Jesse Chavez,#N/A,40,0.1,0.5
Colin Selby,Baltimore Orioles,40.1,0.1,0.498753117
Michael Kelly,Arizona Diamondbacks,40.2,0.1,0.497512438
Jake Palisch,Chicago Cubs,81,0.2,0.49382716
Owen White,#N/A,81,0.2,0.49382716
Alejandro Hidalgo,Minnesota Twins,81.2,0.2,0.492610837
Ryan Pressly,#N/A,41,0.1,0.487804878
Anthony Veneziano,#N/A,82.1,0.2,0.487210719
Jorge López,#N/A,41.1,0.1,0.486618005
Tanner Rainey,Detroit Tigers,41.1,0.1,0.486618005
Carson Ragsdale,#N/A,83,0.2,0.481927711
Bailey Dees,New York Yankees,83.2,0.2,0.480769231
Roque Gutierrez,Los Angeles Dodgers,83.2,0.2,0.480769231
Brandon Komar,#N/A,84,0.2,0.476190476
Luis Moreno,Miami Marlins,84.1,0.2,0.475624257
Grant Holman,Detroit Tigers,42.2,0.1,0.473933649
Roddery Muñoz,Houston Astros,85.2,0.2,0.469483568
Frankie Montas,#N/A,86,0.2,0.465116279
Raúl Alcantara,#N/A,86.1,0.2,0.464576074
Edgar Barclay,New York Yankees,86.2,0.2,0.464037123
Lou Trivino,Philadelphia Phillies,43.1,0.1,0.464037123
Hans Crouse,Baltimore Orioles,43.2,0.1,0.462962963
Michel Otañez,Texas Rangers,43.2,0.1,0.462962963
Wil Crowe,#N/A,43.2,0.1,0.462962963
Chris Devenski,Pittsburgh Pirates,44,0.1,0.454545455
David Robertson,#N/A,44.1,0.1,0.453514739
Ethan Roberts,Chicago Cubs,44.2,0.1,0.452488688
Albert Suárez,Baltimore Orioles,89.1,0.2,0.448933782
Parker Mushinski,Colorado Rockies,45,0.1,0.444444444
Trevor Kuncl,Cincinnati Reds,45,0.1,0.444444444
Alessandro Ercolani,Pittsburgh Pirates,90.2,0.2,0.44345898
Ryan Thompson,Arizona Diamondbacks,45.1,0.1,0.44345898
Taylor Rogers,Minnesota Twins,45.1,0.1,0.44345898
Drake Fellows,#N/A,91.2,0.2,0.438596491
Andrew Saalfrank,Arizona Diamondbacks,46,0.1,0.434782609
Joe Miller,Detroit Tigers,92.2,0.2,0.433839479
José Leclerc,San Diego Padres,46.2,0.1,0.432900433
Jonathan Hernández,Philadelphia Phillies,46.2,0.1,0.432900433
Ryan Ramsey,Kansas City Royals,93,0.2,0.430107527
Ryan Costeiu,Los Angeles Angels,93.2,0.2,0.429184549
Cionel Pérez,Washington Nationals,47,0.1,0.425531915
Nick Sandlin,Los Angeles Angels,47,0.1,0.425531915
Jack Dallas,Philadelphia Phillies,47,0.1,0.425531915
Zach Franklin,Chicago Cubs,47.1,0.1,0.42462845
Phil Bickford,#N/A,47.2,0.1,0.423728814
Kenley Jansen,Detroit Tigers,47.2,0.1,0.423728814
Chris Flexen,#N/A,95.2,0.2,0.420168067
Declan Cronin,Texas Rangers,48,0.1,0.416666667
Luke Murphy,Los Angeles Angels,48,0.1,0.416666667
Yunior Tur,Arizona Diamondbacks,97.2,0.2,0.411522634
Seth Martinez,Boston Red Sox,49.1,0.1,0.407331976
Joe Jacques,New York Mets,49.1,0.1,0.407331976
Jack Leftwich,Cleveland Guardians,49.2,0.1,0.406504065
Ryan Lambert,New York Mets,49.2,0.1,0.406504065
Geoff Hartlieb,Arizona Diamondbacks,50,0.1,0.4
Houston Harding,Los Angeles Angels,50,0.1,0.4
Cory Wall,Atlanta Braves,50.2,0.1,0.398406375
Justin Bruihl,St. Louis Cardinals,50.2,0.1,0.398406375
Reiss Knehr,Milwaukee Brewers,51,0.1,0.392156863
Garrett McDaniels,Los Angeles Dodgers,51.2,0.1,0.390625
Michael Morales,Seattle Mariners,103,0.2,0.388349515
John Rooney,Tampa Bay Rays,52,0.1,0.384615385
Bryan Hudson,Chicago Cubs,52,0.1,0.384615385
Hunter Stratton,Atlanta Braves,52.1,0.1,0.383877159
Walter Pennington,#N/A,52.2,0.1,0.383141762
Trevor Richards,Philadelphia Phillies,52.2,0.1,0.383141762
Rico Garcia,Baltimore Orioles,53,0.1,0.377358491
Po-Yu Chen,Pittsburgh Pirates,106.1,0.2,0.377002828
Craig Yoho,Milwaukee Brewers,53.1,0.1,0.376647834
Philip Abner,Arizona Diamondbacks,53.2,0.1,0.37593985
Brett Kerry,Los Angeles Angels,108,0.2,0.37037037
Jordan Geber,New York Mets,54.1,0.1,0.369685767
Nate Pearson,Houston Astros,54.1,0.1,0.369685767
Matt Pushard,St. Louis Cardinals,54.1,0.1,0.369685767
Peter Van Loon,#N/A,54.1,0.1,0.369685767
Matt Festa,Cleveland Guardians,54.2,0.1,0.36900369
Dylan Ross,New York Mets,55,0.1,0.363636364
JJ Goss,Arizona Diamondbacks,55,0.1,0.363636364
Riley O'Brien,St. Louis Cardinals,55.2,0.1,0.362318841
Yuki Matsui,San Diego Padres,56.1,0.1,0.356506239
Ron Marinaccio,San Diego Padres,56.1,0.1,0.356506239
Ben Peoples,Chicago Cubs,56.2,0.1,0.355871886
Reiver Sanmartin,San Francisco Giants,56.2,0.1,0.355871886
Will Klein,Los Angeles Dodgers,56.2,0.1,0.355871886
Max Rajcic,St. Louis Cardinals,113.1,0.2,0.353669319
Logan Gillaspie,San Diego Padres,57,0.1,0.350877193
Brent Suter,Los Angeles Angels,57,0.1,0.350877193
Austin Roberts,Texas Rangers,57.1,0.1,0.350262697
Andre Granillo,Washington Nationals,57.2,0.1,0.34965035
Wandy Peralta,San Diego Padres,58,0.1,0.344827586
Michael Darrell-Hicks,Pittsburgh Pirates,58.1,0.1,0.344234079
Roel Garcia III,Tampa Bay Rays,58.1,0.1,0.344234079
Jacob Webb,Chicago Cubs,58.1,0.1,0.344234079
Osvaldo Berrios,Boston Red Sox,58.2,0.1,0.343642612
Jimmy Endersby,#N/A,59.1,0.1,0.338409475
Connor Brogdon,Cleveland Guardians,59.2,0.1,0.337837838
Chase Shugart,Philadelphia Phillies,60.1,0.1,0.332778702
Nigel Belgrave,Miami Marlins,60.2,0.1,0.332225914
Dane Acker,Texas Rangers,60.2,0.1,0.332225914
Grant Anderson,Milwaukee Brewers,63,0.1,0.317460317
Lake Bachar,Miami Marlins,64.1,0.1,0.31201248
Elieser Hernández,Atlanta Braves,64.1,0.1,0.31201248
Shinnosuke Ogasawara,Washington Nationals,64.2,0.1,0.31152648
Kyle Virbitsky,#N/A,65,0.1,0.307692308
A.J. Causey,Arizona Diamondbacks,65,0.1,0.307692308
Jonatan Bernal,Arizona Diamondbacks,65.2,0.1,0.306748466
Garrett Davila,#N/A,67,0.1,0.298507463
Christian Roa,Minnesota Twins,68,0.1,0.294117647
Matt Manning,#N/A,70.2,0.1,0.284900285
Connor Schultz,Chicago Cubs,70.2,0.1,0.284900285
José Ureña,#N/A,70.2,0.1,0.284900285
Nick Sinacola,#N/A,70.2,0.1,0.284900285
Abdiel Mendoza,Seattle Mariners,71.2,0.1,0.280898876
Blake Townsend,Texas Rangers,72,0.1,0.277777778
Anthony Solometo,Pittsburgh Pirates,72.1,0.1,0.27739251
Tommy Vail,Chicago Cubs,72.2,0.1,0.27700831
Jackson Baumeister,Tampa Bay Rays,73,0.1,0.273972603
Peter Heubeck,Los Angeles Dodgers,73.1,0.1,0.273597811
Noah Davis,Pittsburgh Pirates,73.1,0.1,0.273597811
Cade Gibson,Miami Marlins,73.1,0.1,0.273597811
Isaac Coffey,Boston Red Sox,74.1,0.1,0.269905533
Josh Fleming,Toronto Blue Jays,74.1,0.1,0.269905533
Cory Lewis,Minnesota Twins,74.2,0.1,0.269541779
Adam Plutko,#N/A,76,0.1,0.263157895
Justin Jarvis,Los Angeles Dodgers,76.2,0.1,0.262467192
Xzavion Curry,#N/A,78,0.1,0.256410256
Victor Juarez,Colorado Rockies,80,0.1,0.25
Rich Hill,#N/A,80,0.1,0.25
Marcelo Perez,Seattle Mariners,80.1,0.1,0.24968789
Sam Benschoter,Cincinnati Reds,80.2,0.1,0.249376559
Andrew Quezada,#N/A,81.1,0.1,0.246609125
Gabriel Barbosa,Philadelphia Phillies,82.1,0.1,0.243605359
Aaron Brown,#N/A,82.2,0.1,0.243309002
Will Schomberg,Miami Marlins,83,0.1,0.240963855
Brandon Birdsell,Chicago Cubs,83.1,0.1,0.240673887
Blake Burkhalter,Atlanta Braves,84,0.1,0.238095238
Zach Messinger,New York Yankees,85.2,0.1,0.234741784
Shane Panzini,Kansas City Royals,86.1,0.1,0.232288037
Mike Paredes,Minnesota Twins,86.1,0.1,0.232288037
Drue Hackenberg,Atlanta Braves,87,0.1,0.229885057
Adrian Sampson,#N/A,87.1,0.1,0.229621125
Ben Anderson,Texas Rangers,91.1,0.1,0.219538968
Evan Fitterer,San Diego Padres,91.2,0.1,0.219298246
Avery Short,Arizona Diamondbacks,92.1,0.1,0.217155266
Estibenzon Jimenez,Philadelphia Phillies,96.1,0.1,0.208116545
Wilkel Hernandez,#N/A,96.2,0.1,0.207900208
Patrick Copen,Los Angeles Dodgers,98.1,0.1,0.203873598
Tyler Ivey,#N/A,98.2,0.1,0.203665988
Michael Prosecky,Colorado Rockies,100.2,0.1,0.199600798
Dylan File,Detroit Tigers,102.1,0.1,0.195886386
Eric Yost,San Diego Padres,107,0.1,0.186915888
Blas Castaño,Colorado Rockies,107,0.1,0.186915888
Bradley Blalock,Miami Marlins,110.1,0.1,0.181653043
Jose Cabrera,Arizona Diamondbacks,112,0.1,0.178571429
Aaron Davenport,Cleveland Guardians,112,0,0
Alexander Cornielle,New York Yankees,109.1,0,0
Mason Albright,Colorado Rockies,106.2,0,0
Seth Lonsway,San Francisco Giants,102.2,0,0
Karl Kauffmann,#N/A,95.1,0,0
Hyun-il Choi,#N/A,95,0,0
Jagger Haynes,San Diego Padres,94.1,0,0
Christian Romero,Los Angeles Dodgers,89.2,0,0
Connor Van Scoyoc,Washington Nationals,89.2,0,0
Chris Kachmar,#N/A,89,0,0
Manuel Urias,#N/A,88.1,0,0
Enmanuel Pinales,San Diego Padres,88,0,0
Braydon Tucker,Philadelphia Phillies,84.2,0,0
Grant Kipp,Chicago Cubs,84.1,0,0
Cade Winquest,St. Louis Cardinals,84.1,0,0
Trace Bright,Baltimore Orioles,81.1,0,0
Tyler Schlaffer,Chicago Cubs,78.1,0,0
Dustin Saenz,#N/A,78,0,0
Aaron Brooks,#N/A,78,0,0
Luke Fox,Los Angeles Dodgers,78,0,0
Miguel Cienfuegos,San Diego Padres,77,0,0
Austin Krob,#N/A,76.1,0,0
Dylan Cumming,Chicago Cubs,76,0,0
Alec Baker,Arizona Diamondbacks,76,0,0
Zach Plesac,#N/A,75.1,0,0
Mason Green,Colorado Rockies,75,0,0
Yoniel Curet,Detroit Tigers,75,0,0
Devin Smeltzer,#N/A,73.2,0,0
Andrew Bash,Minnesota Twins,72.2,0,0
Austin Cox,Atlanta Braves,71,0,0
Seth Johnson,Philadelphia Phillies,70.1,0,0
George Soriano,St. Louis Cardinals,70.1,0,0
Dominic Perachi,Pittsburgh Pirates,70,0,0
Nic Swanson,Houston Astros,69.1,0,0
Luis Vargas,Atlanta Braves,69.1,0,0
Brandyn Garcia,Arizona Diamondbacks,68.2,0,0
Touki Toussaint,#N/A,68.1,0,0
Chad Kuhl,#N/A,68,0,0
Jarret Whorff,Minnesota Twins,66.2,0,0
Wikelman González,Chicago Cubs,66.2,0,0
Sean Hunley,Detroit Tigers,66,0,0
Justin Meis,Pittsburgh Pirates,65.1,0,0
Garrett Schoenle,Chicago Cubs,64,0,0
Luke Albright,#N/A,64,0,0
Zach Fruit,Baltimore Orioles,63,0,0
Chris Roycroft,St. Louis Cardinals,62.1,0,0
Alimber Santa,Houston Astros,62,0,0
Davis Sharpe,Cleveland Guardians,62,0,0
Joseph Montalvo,Detroit Tigers,61.1,0,0
Daniel Missaki,Texas Rangers,60,0,0
Nick Davila,Seattle Mariners,59.2,0,0
Austin Kitchen,Seattle Mariners,59.2,0,0
Cesar Gomez,#N/A,59.1,0,0
Carson Skipper,Colorado Rockies,57.2,0,0
Andrew Magno,Baltimore Orioles,57.2,0,0
Yohan Ramírez,Pittsburgh Pirates,57.1,0,0
Zach Maxwell,Cincinnati Reds,56.2,0,0
Matt Krook,Arizona Diamondbacks,56.2,0,0
Max Lazar,Philadelphia Phillies,56.1,0,0
Camden Minacci,Los Angeles Angels,56.1,0,0
Zack Kelly,Boston Red Sox,56,0,0
Wilkin Ramos,San Francisco Giants,56,0,0
Corbin Martin,Chicago Cubs,55.2,0,0
Jared Karros,Los Angeles Dodgers,55.2,0,0
Houston Roth,Seattle Mariners,55.2,0,0
Luis Curvelo,Texas Rangers,55.1,0,0
Ryan Zeferjahn,Los Angeles Angels,55,0,0
Anderson Pilar,Atlanta Braves,55,0,0
Taylor Clarke,Arizona Diamondbacks,54.2,0,0
Joe Barlow,#N/A,54.2,0,0
Charlie Beilenson,Seattle Mariners,54.2,0,0
Brayan Castillo,Colorado Rockies,54.1,0,0
Ryan Jennings,Toronto Blue Jays,54,0,0
Cole Percival,Minnesota Twins,54,0,0
Eric Cerantola,Kansas City Royals,54,0,0
Jorge Alcala,Toronto Blue Jays,53.2,0,0
Harry Gustin,San Diego Padres,53,0,0
Antoine Kelly,Los Angeles Dodgers,52.2,0,0
Garrett Acton,Minnesota Twins,52.2,0,0
Bailey Horn,Detroit Tigers,52.2,0,0
Enoli Paredes,Baltimore Orioles,52.1,0,0
Jake Miller,Cleveland Guardians,52.1,0,0
Michael Tonkin,Minnesota Twins,52.1,0,0
Alec Gamboa,Boston Red Sox,52.1,0,0
Douglas Orellana,New York Mets,52,0,0
Jack Dashwood,Atlanta Braves,51.2,0,0
Collin Snider,Chicago Cubs,51.2,0,0
Ryan Murphy,St. Louis Cardinals,51.1,0,0
Diego Barrera,Arizona Diamondbacks,51,0,0
Jackson Kowar,Baltimore Orioles,50.2,0,0
Derrick Edington,Tampa Bay Rays,50,0,0
Hagen Danner,Cincinnati Reds,49.2,0,0
Nick Merkel,Milwaukee Brewers,49.2,0,0
Cruz Noriega,#N/A,49.2,0,0
Rafael Montero,New York Yankees,49.2,0,0
Morgan McSweeney,#N/A,49.1,0,0
Skylar Hales,St. Louis Cardinals,49.1,0,0
Tom Cosgrove,Houston Astros,48.2,0,0
José Ruiz,#N/A,48.2,0,0
Brandan Bidois,Pittsburgh Pirates,48.2,0,0
Jacob Watters,Tampa Bay Rays,48.1,0,0
Simon Miller,Cincinnati Reds,48.1,0,0
Scott McGough,#N/A,48.1,0,0
Angel Macuare,#N/A,48,0,0
Michael Petersen,Miami Marlins,48,0,0
Tommy McCollum,Tampa Bay Rays,47.2,0,0
Gerson Garabito,Milwaukee Brewers,47.2,0,0
Stephen Nogosek,#N/A,47.1,0,0
Ryan Brady,#N/A,47,0,0
Matt Jachec,Cleveland Guardians,46.1,0,0
Tyler Davis,Chicago Cubs,46.1,0,0
Wander Suero,Arizona Diamondbacks,46,0,0
Tayler Scott,Atlanta Braves,46,0,0
Edgar Sanchez,Arizona Diamondbacks,46,0,0
Kelly Austin,New York Yankees,45.2,0,0
Mason Erla,Los Angeles Angels,45.1,0,0
Jesús Liranzo,#N/A,45.1,0,0
Dillon Tate,#N/A,45,0,0
Trent Thornton,Chicago Cubs,45,0,0
Michael Arias,New York Yankees,45,0,0
Eli Morgan,Kansas City Royals,44.2,0,0
Erik Swanson,#N/A,44,0,0
Brooks Kriske,Arizona Diamondbacks,44,0,0
Nate Garkow,Toronto Blue Jays,43.2,0,0
Alex Santos II,Houston Astros,43.2,0,0
Ryan Jensen,Chicago Cubs,43.2,0,0
Andrew Walters,Cleveland Guardians,43.1,0,0
James Karinchak,Atlanta Braves,43,0,0
Kervin Castro,New York Yankees,42.2,0,0
Seth Halvorsen,Colorado Rockies,42.1,0,0
Josh Walker,Baltimore Orioles,42,0,0
José Castillo,#N/A,41.2,0,0
Andrew Chafin,Cincinnati Reds,41.2,0,0
Yondrei Rojas,Toronto Blue Jays,41.2,0,0
Scott Effross,Detroit Tigers,41.1,0,0
Bryan Magdaleno,Texas Rangers,41.1,0,0
Luis Frías,#N/A,41.1,0,0
Chris Stratton,#N/A,41,0,0
Jake McSteen,#N/A,40.1,0,0
Daniel Robert,Philadelphia Phillies,40.1,0,0
Brian Moran,#N/A,40,0,0
Richard Guasch,Baltimore Orioles,40,0,0
Raymond Burgos,#N/A,39.2,0,0
Chris Rodriguez,Chicago Cubs,39.1,0,0
Tanner Andrews,Toronto Blue Jays,38.2,0,0
Tim Naughton,Detroit Tigers,38,0,0
Will Brian,New York Yankees,37.2,0,0
Jake Cousins,Los Angeles Dodgers,37,0,0
Eric Pardinho,Toronto Blue Jays,37,0,0
Jacob Barnes,#N/A,36.2,0,0
Hunter Bigge,Tampa Bay Rays,36,0,0
Ty Adcock,San Diego Padres,35.2,0,0
Anthony Gose,#N/A,35.2,0,0
Alex Cook,Tampa Bay Rays,35.1,0,0
Nate Lavender,New York Mets,35,0,0
Andrew Misiaszek,#N/A,35,0,0
Brad Deppermann,San Francisco Giants,34.2,0,0
Jose E. Hernandez,#N/A,34.1,0,0
Blair Calvo,#N/A,34,0,0
Matt Foster,#N/A,33.2,0,0
Leon Hunter Jr.,#N/A,33.2,0,0
CD Pelham,Arizona Diamondbacks,33,0,0
Luis Patiño,#N/A,32,0,0
Trevor Gott,Washington Nationals,31.1,0,0
Tyler Bryant,Milwaukee Brewers,31,0,0
Lane Ramsey,#N/A,28.2,0,0
Patrick Murphy,Texas Rangers,28.1,0,0
Diego Castillo,#N/A,27,0,0
Bryce Montes de Oca,Washington Nationals,26,0,0
J.B. Wendelken,#N/A,26,0,0
Julian Garcia,Cincinnati Reds,24.2,0,0
Luis F. Castillo,#N/A,24.1,0,0
Keone Kela,#N/A,20.2,0,0
Tejay Antone,Cincinnati Reds,20.1,0,0
Chasen Shreve,#N/A,19.2,0,0
Roman Angelo,Arizona Diamondbacks,109.2,-0.1,-0.183150183
Kenny Serwa,Detroit Tigers,97.1,-0.1,-0.205973223
Kevin Abel,Cincinnati Reds,94.2,-0.1,-0.212314225
Bryce Conley,New York Mets,92,-0.1,-0.217391304
Joel Hurtado,Los Angeles Angels,89.2,-0.1,-0.224215247
Devereaux Harrison,Toronto Blue Jays,89.2,-0.1,-0.224215247
Brett Wichrowski,Milwaukee Brewers,88,-0.1,-0.227272727
Drew Parrish,#N/A,81.2,-0.1,-0.246305419
Casey Anderson,Arizona Diamondbacks,81.2,-0.1,-0.246305419
Connor Gillispie,Philadelphia Phillies,79,-0.1,-0.253164557
Omar Cruz,San Diego Padres,77.1,-0.1,-0.259403372
Ryan Watson,Toronto Blue Jays,75,-0.1,-0.266666667
Oscar Rayo,Kansas City Royals,73.1,-0.1,-0.273597811
Michael Cuevas,#N/A,72,-0.1,-0.277777778
Spencer Bivens,San Francisco Giants,71.1,-0.1,-0.281293952
Nick Krauth,Texas Rangers,69.1,-0.1,-0.289435601
Ryan Garcia,#N/A,68.1,-0.1,-0.293685756
Nate Peterson,Cincinnati Reds,67.1,-0.1,-0.298062593
Jayden Murray,Houston Astros,66.2,-0.1,-0.302114804
Angel Chivilli,New York Yankees,66.2,-0.1,-0.302114804
Junior Santos,#N/A,66,-0.1,-0.303030303
Carter Spivey,Cleveland Guardians,66,-0.1,-0.303030303
Emmanuel Chapman,Pittsburgh Pirates,65.1,-0.1,-0.307219662
Levi Stoudt,Philadelphia Phillies,65.1,-0.1,-0.307219662
Elvin Rodríguez,#N/A,62.2,-0.1,-0.321543408
Colin Peluse,Philadelphia Phillies,61.2,-0.1,-0.326797386
Garrett Hill,#N/A,60.2,-0.1,-0.332225914
Evan Gates,Philadelphia Phillies,59,-0.1,-0.338983051
Domingo Gonzalez,Seattle Mariners,58.1,-0.1,-0.344234079
Antonio Jimenez,#N/A,58.1,-0.1,-0.344234079
Jake Higginbotham,#N/A,57.1,-0.1,-0.350262697
Paul Gervase,Los Angeles Dodgers,57.1,-0.1,-0.350262697
Joe La Sorsa,Pittsburgh Pirates,57.1,-0.1,-0.350262697
Riley Martin,Chicago Cubs,57,-0.1,-0.350877193
Alek Jacob,San Diego Padres,57,-0.1,-0.350877193
Caleb Bolden,Boston Red Sox,56.1,-0.1,-0.356506239
Nolan Hoffman,Philadelphia Phillies,56,-0.1,-0.357142857
Nick Fraze,#N/A,56,-0.1,-0.357142857
Dalton Roach,#N/A,55.2,-0.1,-0.362318841
Ryan Loutos,Seattle Mariners,55.2,-0.1,-0.362318841
Will Childers,Milwaukee Brewers,55.1,-0.1,-0.362976407
Josh Ekness,Miami Marlins,54.2,-0.1,-0.36900369
Tanner Burns,Cleveland Guardians,54.2,-0.1,-0.36900369
Jack Little,Detroit Tigers,54.2,-0.1,-0.36900369
Kade Strowd,Arizona Diamondbacks,54.2,-0.1,-0.36900369
Ronan Kopp,Los Angeles Dodgers,54.2,-0.1,-0.36900369
Josh Simpson,Seattle Mariners,54.1,-0.1,-0.369685767
Cam Sanders,Pittsburgh Pirates,54,-0.1,-0.37037037
Patrick Halligan,Boston Red Sox,54,-0.1,-0.37037037
Anthony Maldonado,Houston Astros,53.2,-0.1,-0.37593985
Gabriel Yanez,#N/A,53.1,-0.1,-0.376647834
Steven Wilson,Tampa Bay Rays,53.1,-0.1,-0.376647834
John Stankiewicz,Detroit Tigers,52.1,-0.1,-0.383877159
Sam Long,Kansas City Royals,52.1,-0.1,-0.383877159
Manuel Castro,San Diego Padres,52,-0.1,-0.384615385
Matt Turner,New York Mets,51.2,-0.1,-0.390625
Stephen Jones,Miami Marlins,51.2,-0.1,-0.390625
Devin Sweet,Boston Red Sox,51.2,-0.1,-0.390625
Miguel Díaz,#N/A,51.1,-0.1,-0.391389432
Brian Fitzpatrick,Milwaukee Brewers,51.1,-0.1,-0.391389432
Joey Mancini,Houston Astros,102.2,-0.2,-0.391389432
Tyson Neighbors,Baltimore Orioles,51,-0.1,-0.392156863
Buck Farmer,#N/A,51,-0.1,-0.392156863
Dale Stanavich,#N/A,50.2,-0.1,-0.398406375
Saul Garcia,New York Mets,50.2,-0.1,-0.398406375
Danny Watson,New York Yankees,50.1,-0.1,-0.399201597
Eduarniel Núñez,Arizona Diamondbacks,50.1,-0.1,-0.399201597
Luis Contreras,#N/A,50.1,-0.1,-0.399201597
Brady Choban,Los Angeles Angels,50,-0.1,-0.4
Alexis Díaz,Texas Rangers,49.2,-0.1,-0.406504065
Robinson Ortiz,Seattle Mariners,49.1,-0.1,-0.407331976
Kenyon Yovan,Los Angeles Angels,49.1,-0.1,-0.407331976
Marques Johnson,San Francisco Giants,49.1,-0.1,-0.407331976
Jack Ralston,Miami Marlins,49,-0.1,-0.408163265
Peyton Alford,Seattle Mariners,48.2,-0.1,-0.414937759
Tommy Kahnle,Boston Red Sox,48.1,-0.1,-0.415800416
Ryan Miller,Colorado Rockies,48,-0.1,-0.416666667
Juan Morillo,Arizona Diamondbacks,47.1,-0.1,-0.42462845
Andrew Baker,Philadelphia Phillies,47.1,-0.1,-0.42462845
Ryan Boyer,#N/A,47.1,-0.1,-0.42462845
Nick Robertson,Los Angeles Dodgers,47.1,-0.1,-0.42462845
Anthony Simonelli,Kansas City Royals,47,-0.1,-0.425531915
Zach Brzykcy,Miami Marlins,46.2,-0.1,-0.432900433
Noah Murdock,Pittsburgh Pirates,46.2,-0.1,-0.432900433
Micah Dallas,Arizona Diamondbacks,46.1,-0.1,-0.433839479
A.J. Block,#N/A,46.1,-0.1,-0.433839479
Brendan White,Seattle Mariners,46,-0.1,-0.434782609
Noah Song,Boston Red Sox,46,-0.1,-0.434782609
Christian Montes De Oca,#N/A,45,-0.1,-0.444444444
Luke Jackson,New York Mets,45,-0.1,-0.444444444
Victor Lizarraga,San Diego Padres,89.2,-0.2,-0.448430493
Craig Kimbrel,New York Mets,44.2,-0.1,-0.452488688
Daysbel Hernández,Atlanta Braves,44.1,-0.1,-0.453514739
Magnus Ellerts,Cleveland Guardians,44.1,-0.1,-0.453514739
Carson Hobbs,Los Angeles Dodgers,44.1,-0.1,-0.453514739
