Name,Team,IP,WAR,war_per_200
Tyson Hardin,Milwaukee Brewers,83.2,0.9,2.163461538
Jordan Hicks,Chicago Cubs,74,0.8,2.162162162
Brady Basso,Arizona Diamondbacks,74,0.8,2.162162162
Ryne Nelson,Arizona Diamondbacks,139.1,1.5,2.156721783
Tink Hence,St. Louis Cardinals,65.1,0.7,2.150537634
Luis Gil,New York Yankees,93.1,1,2.148227712
Jason Foley,San Francisco Giants,56,0.6,2.142857143
Carson Whisenhunt,San Francisco Giants,112.1,1.2,2.140945584
Tanner Gordon,Colorado Rockies,112.2,1.2,2.139037433
Mitchell Parker,Washington Nationals,141.2,1.5,2.124645892
Jack Dreyer,Los Angeles Dodgers,66.2,0.7,2.114803625
Raisel Iglesias,Atlanta Braves,57,0.6,2.105263158
Justin Wilson,#N/A,38,0.4,2.105263158
Daniel Palencia,Chicago Cubs,57.1,0.6,2.101576182
Brooks Raley,New York Mets,38.1,0.4,2.099737533
Parker Messick,Cleveland Guardians,124,1.3,2.096774194
Andrew Alvarez,Washington Nationals,124,1.3,2.096774194
Aaron Civale,Athletics,105.1,1.1,2.093244529
Chase Silseth,Los Angeles Angels,67,0.7,2.089552239
Angel Zerpa,Milwaukee Brewers,67.2,0.7,2.083333333
Tyler Wells,Baltimore Orioles,77,0.8,2.077922078
TJ Nichols,Tampa Bay Rays,106.1,1.1,2.073515551
Tyler Holton,Detroit Tigers,77.2,0.8,2.07253886
Joe Rock,Tampa Bay Rays,106.2,1.1,2.071563089
Lance McCullers Jr.,Houston Astros,68,0.7,2.058823529
Zac Gallen,Arizona Diamondbacks,175,1.8,2.057142857
Cole Sands,Minnesota Twins,68.2,0.7,2.052785924
Max Meyer,Miami Marlins,78.1,0.8,2.04865557
Elmer Rodríguez,New York Yankees,127,1.3,2.047244094
J.P. France,Houston Astros,78.2,0.8,2.046035806
Eric Lauer,Toronto Blue Jays,108.2,1.1,2.033271719
Clayton Beeter,Washington Nationals,69,0.7,2.028985507
Kyle Wright,Chicago Cubs,79,0.8,2.025316456
Joey Wentz,Atlanta Braves,89.1,0.9,2.02020202
Michael Forret,Tampa Bay Rays,89.2,0.9,2.01793722
Adam Mazur,Miami Marlins,119.2,1.2,2.013422819
Logan Allen,Cleveland Guardians,140,1.4,2
Yu Darvish,San Diego Padres,90,0.9,2
JT Brubaker,San Francisco Giants,70,0.7,2
Tyler Uberstine,Boston Red Sox,100.2,1,1.996007984
Allan Winans,#N/A,100.2,1,1.996007984
Caleb Boushley,#N/A,90.2,0.9,1.99556541
Joander Suarez,New York Mets,90.2,0.9,1.99556541
Zach Thornton,New York Mets,70.2,0.7,1.994301994
Cody Laweryson,Minnesota Twins,50.2,0.5,1.992031873
Chen Zhong-Ao Zhuang,Arizona Diamondbacks,121,1.2,1.983471074
Nestor Cortes,#N/A,101,1,1.98019802
Michael Soroka,Arizona Diamondbacks,91.2,0.9,1.973684211
Hunter Gaddis,Cleveland Guardians,81.1,0.8,1.972872996
Colton Gordon,Houston Astros,122,1.2,1.967213115
